User Name,Drivers Id,Date,Policy Number,Location,Issue,Fraud,,,,,,,
Richard,5883253,6/24/18,5887368,A_bak,Bike & Car Accident,1,,,,,,,
Andrew,5877727,5/31/18,5876330,Rust_q,Cars Accident,0,,,,,,,
Daniel,5889499,7/24/18,5887461,Qarq_n,Cars Accident,0,,,,,,,
Ernest,5859224,3/15/18,5883324,Qar_wul,Bike & Car Accident,0,,,,,,,
Will,5877596,5/30/18,5882603,Pul-e Khumr_,Bike Accident,0,,,,,,,
Jesse,5890530,7/28/18,5885024,Paghm_n,Cars Accident,0,,,,,,,
Oscar,5866861,4/16/18,5880761,Nahr_n,Bike & Car Accident,0,,,,,,,
Lewis,5872577,5/8/18,5884338,Maymana,Bike Accident,0,,,,,,,
Peter,5884263,6/28/18,5876462,Mehtar L_m,Bike Accident,0,,,,,,,
Benjamin,5889586,7/24/18,5884656,Maz_r-e Shar_f,Bike & Car Accident,0,,,,,,,
Frederick,5883253,6/18/18,5887368,Lashkar G_h,Bike & Car Accident,1,,,,,,,
Willie,5876877,5/25/18,5876008,Kushk,Cars Accident,1,,,,,,,
Alfred,5879089,6/5/18,5876833,Kunduz,Cars Accident,0,,,,,,,
Sam,5878628,6/4/18,5880741,Kh_st,Cars Accident,0,,,,,,,
Roy,5883778,6/26/18,5863961,Khulm,Bike Accident,0,,,,,,,
Herbert,5886647,7/10/18,5887947,Kh_sh,Bike Accident,0,,,,,,,
Jacob,5882112,6/18/18,5877031,Khanabad,Cars Accident,0,,,,,,,
Tom,5873254,5/10/18,5888933,Karukh,Cars Accident,0,,,,,,,
Elmer,5883708,6/26/18,5885628,Kandah_r,Bike & Car Accident,0,,,,,,,
Carl,5881770,6/16/18,5889379,Kabul,Bike & Car Accident,0,,,,,,,
Lee,5888542,7/19/18,5880614,Jal_l_b_d,Cars Accident,0,,,,,,,
Howard,5876877,6/8/18,5876008,Jabal os Saraj,Bike & Car Accident,1,,,,,,,
Martin,5889387,7/23/18,5885174,Her_t,Bike Accident,1,,,,,,,
Michael,5886712,7/11/18,5882937,Ghormach,Cars Accident,0,,,,,,,
Bert,5882960,6/22/18,5882303,Ghazni,Bike & Car Accident,0,,,,,,,
Herman,5887508,7/14/18,5889110,Gereshk,Cars Accident,0,,,,,,,
Jim,5885637,7/6/18,5868369,Gard_z,Cars Accident,0,,,,,,,
Francis,5882321,6/19/18,5858389,Fayzabad,Bike & Car Accident,0,,,,,,,
Harvey,5885124,7/3/18,5874937,Farah,Bike Accident,0,,,,,,,
Earl,5884916,7/2/18,5882994,Kafir Qala,Cars Accident,0,,,,,,,
Eugene,5882355,6/20/18,5886509,Charikar,Bike & Car Accident,0,,,,,,,
Ralph,5889693,7/24/18,5876522,Barak_ Barak,Bike Accident,0,,,,,,,
Ed,5889387,4/9/18,5885174,B_my_n,Bike Accident,1,,,,,,,
Claude,5870149,4/30/18,5881783,Balkh,Bike & Car Accident,1,,,,,,,
Edwin,5878520,6/3/18,5872236,Baghl_n,Bike & Car Accident,0,,,,,,,
Ben,5876662,5/25/18,5882246,_rt Khw_jah,Cars Accident,0,,,,,,,
Charley,5890009,7/26/18,5890461,_sm_r,Cars Accident,0,,,,,,,
Paul,5882659,6/21/18,5886023,Asad_b_d,Cars Accident,0,,,,,,,
Edgar,5889291,7/23/18,5868384,Andkh_y,Bike Accident,0,,,,,,,
Isaac,5866402,4/13/18,5885838,B_z_rak,Bike Accident,0,,,,,,,
Otto,5887521,7/14/18,5887448,Markaz-e Woluswal_-ye _ch_n,Cars Accident,0,,,,,,,
Luther,5889254,7/23/18,5870896,Saint John’s,Cars Accident,0,,,,,,,
Lawrence,5889153,7/23/18,5872344,The Valley,Bike & Car Accident,0,,,,,,,
Ira,5870149,7/17/18,5881783,Sarandë,Bike & Car Accident,1,,,,,,,
Patrick,5887191,7/12/18,5877853,Kukës,Cars Accident,1,,,,,,,
Guy,5875836,5/22/18,5889658,Korçë,Bike & Car Accident,0,,,,,,,
Oliver,5880604,6/11/18,5884171,Gjirokastër,Bike Accident,0,,,,,,,
Theodore,5882455,6/20/18,5867583,Elbasan,Cars Accident,0,,,,,,,
Hugh,5889426,7/23/18,5888659,Burrel,Bike & Car Accident,0,,,,,,,
Clyde,5885896,7/7/18,5886615,Vlorë,Cars Accident,0,,,,,,,
Alexander,5879070,6/5/18,5890523,Tirana,Cars Accident,0,,,,,,,
August,5889629,7/24/18,5887549,Shkodër,Bike & Car Accident,0,,,,,,,
Floyd,5886391,7/10/18,5884775,Patos Fshat,Bike Accident,0,,,,,,,
Homer,5885080,7/3/18,5888300,Lushnjë,Cars Accident,0,,,,,,,
Jack,5887191,6/27/18,5877853,Lezhë,Bike & Car Accident,1,,,,,,,
Leonard,5884139,6/27/18,5873646,Laç,Bike Accident,1,,,,,,,
Horace,5889451,7/24/18,5883679,Kuçovë,Bike Accident,0,,,,,,,
Marion,5887781,7/16/18,5883680,Krujë,Bike & Car Accident,0,,,,,,,
Philip,5876358,5/24/18,5874094,Kavajë,Bike & Car Accident,0,,,,,,,
Allen,5880317,6/10/18,5889158,Fier-Cici,Cars Accident,0,,,,,,,
Archie,5885029,7/2/18,5872437,Fier,Cars Accident,0,,,,,,,
Stephen,5878339,6/1/18,5870176,Durrës,Cars Accident,0,,,,,,,
Chester,5885777,7/6/18,5884003,Berat,Bike Accident,0,,,,,,,
Willis,5885557,7/5/18,5870545,Kapan,Bike Accident,0,,,,,,,
Raymond,5883588,6/26/18,5878460,Goris,Cars Accident,0,,,,,,,
Rufus,5884139,7/2/18,5873646,Hats’avan,Cars Accident,1,,,,,,,
Warren,5884142,6/27/18,5885535,Artashat,Bike & Car Accident,1,,,,,,,
Jessie,5876528,5/24/18,5875710,Ararat,Bike & Car Accident,0,,,,,,,
Milton,5885433,7/5/18,5884172,Yerevan,Cars Accident,0,,,,,,,
Alex,5889957,7/25/18,5888988,Ejmiatsin,Bike & Car Accident,0,,,,,,,
Leo,5873614,5/12/18,5866284,Spitak,Bike Accident,0,,,,,,,
Julius,5883639,6/26/18,5887853,Sevan,Cars Accident,0,,,,,,,
Ray,5886021,7/8/18,5887059,Masis,Bike & Car Accident,0,,,,,,,
Sidney,5871077,5/2/18,5878889,Vanadzor,Cars Accident,0,,,,,,,
Bernard,5887881,7/16/18,5881367,Gavarr,Cars Accident,0,,,,,,,
Dan,5887910,7/17/18,5886751,Hrazdan,Bike & Car Accident,0,,,,,,,
Jerry,5884142,6/13/18,5885535,Armavir,Bike Accident,1,,,,,,,
Calvin,5871819,5/5/18,5878342,Gyumri,Cars Accident,1,,,,,,,
Perry,5890025,7/26/18,5879447,Ashtarak,Bike & Car Accident,0,,,,,,,
Dave,5877105,5/29/18,5876730,Abovyan,Bike Accident,0,,,,,,,
Anthony,5868128,4/20/18,5876695,Saurimo,Bike Accident,0,,,,,,,
Eddie,5875970,5/22/18,5889965,Lucapa,Bike & Car Accident,0,,,,,,,
Amos,5882777,6/21/18,5874405,Luau,Bike & Car Accident,0,,,,,,,
Dennis,5889577,7/24/18,5885885,Uíge,Cars Accident,0,,,,,,,
Clifford,5860963,3/23/18,5887468,Soio,Cars Accident,0,,,,,,,
Leroy,5886199,7/9/18,5886694,Nzeto,Cars Accident,0,,,,,,,
Wesley,5888910,7/20/18,5886266,N’dalatando,Bike Accident,0,,,,,,,
Alonzo,5871819,5/15/18,5878342,Mbanza Congo,Bike Accident,1,,,,,,,
Garfield,5890526,7/28/18,5889975,Malanje,Cars Accident,1,,,,,,,
Franklin,5851467,2/13/18,5881247,Luanda,Cars Accident,0,,,,,,,
Emil,5889098,7/22/18,5881030,Caxito,Bike & Car Accident,0,,,,,,,
Leon,5886736,7/11/18,5882733,Cabinda,Bike & Car Accident,0,,,,,,,
Nathan,5877343,5/29/18,5878672,Sumbe,Cars Accident,0,,,,,,,
Harold,5886679,7/10/18,5889951,Namibe,Bike & Car Accident,0,,,,,,,
Matthew,5884360,6/28/18,5886415,Menongue,Bike Accident,0,,,,,,,
Levi,5876056,5/23/18,5884489,Luena,Cars Accident,0,,,,,,,
Moses,5884276,6/28/18,5876717,Lubango,Bike & Car Accident,0,,,,,,,
Everett,5889541,7/24/18,5874138,Longonjo,Cars Accident,0,,,,,,,
Lester,5890526,4/23/18,5889975,Lobito,Cars Accident,1,,,,,,,
Winfield,5870486,5/1/18,5886320,Cuito,Bike & Car Accident,1,,,,,,,
Adam,5889046,7/21/18,5881680,Huambo,Bike Accident,0,,,,,,,
Lloyd,5888276,7/18/18,5887385,Catumbela,Cars Accident,0,,,,,,,
Mack,5876022,5/23/18,5889735,Catabola,Bike & Car Accident,0,,,,,,,
Fredrick,5883102,6/23/18,5874492,Camacupa,Bike Accident,0,,,,,,,
Jay,5871894,5/6/18,5878119,Caluquembe,Bike Accident,0,,,,,,,
Jess,5865226,4/9/18,5875961,Caála,Bike & Car Accident,0,,,,,,,
Melvin,5885380,7/4/18,5887469,Benguela,Bike & Car Accident,0,,,,,,,
Noah,5868780,4/23/18,5887512,Zárate,Cars Accident,0,,,,,,,
Aaron,5889175,7/23/18,5880670,Villa Ocampo,Cars Accident,0,,,,,,,
Alvin,5870486,6/4/18,5886320,Villa Lugano,Cars Accident,1,,,,,,,
Norman,5866616,4/14/18,5883868,Villaguay,Bike Accident,1,,,,,,,
Gilbert,5868881,4/24/18,5890243,Villa Gesell,Bike Accident,0,,,,,,,
Elijah,5880345,6/11/18,5887130,Tigre,Cars Accident,0,,,,,,,
Victor,5888009,7/17/18,5890148,Tandil,Cars Accident,0,,,,,,,
Gus,5748366,5/29/17,5884183,San Vicente,Bike & Car Accident,0,,,,,,,
Nelson,5883782,6/26/18,5871695,Santo Tomé,Bike & Car Accident,0,,,,,,,
Jasper,5882979,6/22/18,5889173,Santa Elena,Cars Accident,0,,,,,,,
Silas,5888915,7/20/18,5858521,San Pedro,Bike & Car Accident,0,,,,,,,
Christopher,5888924,7/20/18,5880712,San Luis del Palmar,Bike Accident,0,,,,,,,
Jake,5888739,7/20/18,5880843,San Lorenzo,Cars Accident,0,,,,,,,
Mike,5866616,7/2/18,5883868,San Javier,Bike & Car Accident,1,,,,,,,
Percy,5889048,7/22/18,5882945,San Isidro,Cars Accident,1,,,,,,,
Adolph,5880567,6/11/18,5888717,Saladas,Bike Accident,0,,,,,,,
Maurice,5888294,7/18/18,5871275,Retiro,Cars Accident,0,,,,,,,
Cornelius,5888445,7/19/18,5886243,Resistencia,Bike & Car Accident,0,,,,,,,
Felix,5887860,7/16/18,5886536,Reconquista,Bike Accident,0,,,,,,,
Reuben,5884317,6/28/18,5879794,Quilmes,Cars Accident,0,,,,,,,
Wallace,5884345,6/28/18,5869790,Puerto Rico,Bike & Car Accident,0,,,,,,,
Claud,5882758,6/21/18,5884721,Puerto Iguazú,Bike Accident,0,,,,,,,
Roscoe,5888752,7/20/18,5872837,Puerto Esperanza,Bike Accident,0,,,,,,,
Sylvester,5867131,4/16/18,5882081,Puerto Eldorado,Bike & Car Accident,0,,,,,,,
Earnest,5889048,6/14/18,5882945,Posadas,Bike & Car Accident,1,,,,,,,
Hiram,5865150,4/9/18,5886490,Pontevedra,Cars Accident,1,,,,,,,
Otis,5874728,5/17/18,5871637,Pirané,Cars Accident,0,,,,,,,
Simon,5889979,7/26/18,5887771,Paso de los Libres,Cars Accident,0,,,,,,,
Willard,5881764,6/16/18,5888735,Oberá,Bike Accident,0,,,,,,,
Irvin,5871878,5/6/18,5884979,Necochea,Bike Accident,0,,,,,,,
Mark,5872251,5/7/18,5887470,Morón,Cars Accident,0,,,,,,,
Jose,5881363,6/14/18,5864801,Monte Caseros,Cars Accident,0,,,,,,,
Wilbur,5888801,7/20/18,5882036,Montecarlo,Bike & Car Accident,0,,,,,,,
Abraham,5886267,7/9/18,5889962,Mercedes,Bike & Car Accident,0,,,,,,,
Virgil,5888448,7/19/18,5866676,Mercedes,Cars Accident,0,,,,,,,
Clinton,5865150,4/21/18,5886490,Mar del Plata,Bike & Car Accident,1,,,,,,,
Elbert,5880626,6/12/18,5885929,Luján,Bike Accident,1,,,,,,,
Leslie,5865996,4/11/18,5881185,La Plata,Cars Accident,0,,,,,,,
Marshall,5867054,4/16/18,5890209,La Paz,Bike & Car Accident,0,,,,,,,
Owen,5889532,7/24/18,5878653,Jardín América,Cars Accident,0,,,,,,,
Wiley,5886213,7/9/18,5888544,Gualeguaychú,Cars Accident,0,,,,,,,
Anton,5890234,7/27/18,5885086,Gualeguay,Bike & Car Accident,0,,,,,,,
Morris,5871821,5/5/18,5887730,Goya,Bike Accident,0,,,,,,,
Manuel,5890508,7/28/18,5890297,Gobernador Ingeniero Valentín Virasoro,Cars Accident,0,,,,,,,
Phillip,5885863,7/7/18,5879987,General José de San Martín,Bike & Car Accident,0,,,,,,,
Augustus,5886918,7/11/18,5885335,Garupá,Bike Accident,0,,,,,,,
Emmett,5880626,6/12/18,5885929,Formosa,Bike Accident,1,,,,,,,
Eli,5886667,7/10/18,5885116,Fontana,Bike & Car Accident,1,,,,,,,
Nicholas,5886683,7/10/18,5877725,Federal,Bike & Car Accident,0,,,,,,,
Wilson,5887398,7/13/18,5890119,Esquina,Cars Accident,0,,,,,,,
Alva,5879186,6/6/18,5888303,El Soberbio,Cars Accident,0,,,,,,,
Harley,5888317,7/18/18,5883261,Dolores,Cars Accident,0,,,,,,,
Newton,5882693,6/21/18,5879479,Curuzú Cuatiá,Bike Accident,0,,,,,,,
Timothy,5872205,5/7/18,5889362,Corrientes,Bike Accident,0,,,,,,,
Marvin,5888476,7/19/18,5867597,Concordia,Cars Accident,0,,,,,,,
Ross,5885422,7/5/18,5881444,Concepción del Uruguay,Cars Accident,0,,,,,,,
Curtis,5882896,6/22/18,5868092,Colegiales,Bike & Car Accident,0,,,,,,,
Edmund,5886667,7/23/18,5885116,Chajarí,Bike & Car Accident,1,,,,,,,
Jeff,5886667,6/14/18,5885116,Campana,Cars Accident,1,,,,,,,
Elias,5882670,6/21/18,5889826,Buenos Aires,Bike & Car Accident,1,,,,,,,
Harrison,5876661,5/25/18,5884793,Barranqueras,Bike Accident,0,,,,,,,
Stanley,5871835,5/6/18,5886112,Azul,Cars Accident,0,,,,,,,
Columbus,5885614,7/5/18,5889401,Avellaneda,Bike & Car Accident,0,,,,,,,
Lon,5877715,5/30/18,5868574,Aristóbulo del Valle,Cars Accident,0,,,,,,,
Ora,5877599,5/30/18,5884801,Zapala,Cars Accident,0,,,,,,,
Ollie,5872417,5/8/18,5890366,Yerba Buena,Bike & Car Accident,0,,,,,,,
Russell,5871895,5/6/18,5880187,Villa Regina,Bike Accident,0,,,,,,,
Pearl,5869063,4/24/18,5868367,Villa Paula de Sarmiento,Cars Accident,0,,,,,,,
Solomon,5880300,6/10/18,5884369,Villa Nueva,Bike & Car Accident,0,,,,,,,
Arch,5882670,6/15/18,5889826,Villa María,Bike Accident,1,,,,,,,
Asa,5889926,7/25/18,5888067,Villa Dolores,Bike Accident,1,,,,,,,
Clayton,5877398,5/29/18,5879835,Villa Constitución,Bike & Car Accident,0,,,,,,,
Enoch,5866774,4/15/18,5889019,Villa Carlos Paz,Bike & Car Accident,0,,,,,,,
Irving,5869589,4/26/18,5864921,Villa Ángela,Cars Accident,0,,,,,,,
Mathew,5877069,5/28/18,5878500,Villa Allende,Cars Accident,0,,,,,,,
Nathaniel,5883372,6/25/18,5889959,Viedma,Cars Accident,0,,,,,,,
Scott,5877288,5/29/18,5874904,Victoria,Bike Accident,0,,,,,,,
Hubert,5850890,2/9/18,5885665,Vera,Bike Accident,0,,,,,,,
Lemuel,5885533,7/5/18,5886755,Venado Tuerto,Cars Accident,0,,,,,,,
Andy,5886452,7/10/18,5881717,Veinticinco de Mayo,Cars Accident,0,,,,,,,
Ellis,5889926,4/1/18,5888067,Ushuaia,Bike & Car Accident,1,,,,,,,
Emanuel,5889926,5/15/18,5888067,Unquillo,Bike & Car Accident,1,,,,,,,
Joshua,5889926,7/28/18,5888067,Tres Isletas,Cars Accident,1,,,,,,,
Millard,5890169,7/26/18,5885913,Tres Arroyos,Bike & Car Accident,0,,,,,,,
Vernon,5876621,5/24/18,5878917,Trelew,Bike Accident,0,,,,,,,
Wade,5887597,7/15/18,5882510,Termas de Río Hondo,Cars Accident,0,,,,,,,
Cyrus,5872827,5/9/18,5888386,Tartagal,Bike & Car Accident,0,,,,,,,
Miles,5875849,5/22/18,5885975,Tafí Viejo,Cars Accident,0,,,,,,,
Rudolph,5884211,6/28/18,5883219,Sunchales,Cars Accident,0,,,,,,,
Sherman,5884760,7/2/18,5869145,Santo Tomé,Bike & Car Accident,0,,,,,,,
Austin,5878571,6/4/18,5875281,Santiago del Estero,Bike Accident,0,,,,,,,
Bill,5889926,7/2/18,5888067,Santa Rosa,Cars Accident,1,,,,,,,
Chas,5890472,7/28/18,5889815,Santa Lucía,Bike & Car Accident,1,,,,,,,
Lonnie,5886249,7/9/18,5889415,Santa Fe de la Vera Cruz,Bike Accident,0,,,,,,,
Monroe,5886263,7/9/18,5885077,San Salvador de Jujuy,Bike Accident,0,,,,,,,
Byron,5883204,6/24/18,5887463,San Ramón de la Nueva Orán,Bike & Car Accident,0,,,,,,,
Edd,5867609,4/18/18,5886938,San Rafael,Bike & Car Accident,0,,,,,,,
Emery,5880211,6/9/18,5868242,San Pedro,Cars Accident,0,,,,,,,
Grant,5885588,7/5/18,5888458,San Nicolás de los Arroyos,Cars Accident,0,,,,,,,
Jerome,5886231,7/9/18,5881211,San Miguel de Tucumán,Cars Accident,0,,,,,,,
Max,5886759,7/11/18,5889863,San Martín de los Andes,Bike Accident,0,,,,,,,
Mose,5890472,6/12/18,5889815,San Martín,Bike Accident,1,,,,,,,
Steve,5890472,5/14/18,5889815,San Luis,Cars Accident,1,,,,,,,
Gordon,5887560,7/15/18,5758825,San Justo,Cars Accident,0,,,,,,,
Abe,5878709,6/4/18,5880909,San Juan,Bike & Car Accident,0,,,,,,,
Pete,5887216,7/13/18,5875086,San José de Jáchal,Bike & Car Accident,0,,,,,,,
Chris,5888584,7/19/18,5888725,San Jorge,Cars Accident,0,,,,,,,
Clark,5884635,6/30/18,5878322,San Francisco,Bike & Car Accident,0,,,,,,,
Gustave,5874960,5/18/18,5888595,San Fernando del Valle de Catamarca,Bike Accident,0,,,,,,,
Orville,5888446,7/19/18,5881153,San Antonio Oeste,Cars Accident,0,,,,,,,
Lorenzo,5869257,4/25/18,5889522,Salta,Bike & Car Accident,0,,,,,,,
Bruce,5890472,7/23/18,5889815,Rufino,Cars Accident,1,,,,,,,
Marcus,5886268,7/9/18,5883570,Rosario,Bike & Car Accident,1,,,,,,,
Preston,5874302,5/16/18,5889271,Río Tercero,Cars Accident,0,,,,,,,
Bob,5886929,7/11/18,5887559,Río Segundo,Bike & Car Accident,0,,,,,,,
Dock,5884538,6/29/18,5871386,Río Gallegos,Bike Accident,0,,,,,,,
Donald,5883572,6/26/18,5887798,Río Cuarto,Cars Accident,0,,,,,,,
Jackson,5878815,6/4/18,5884520,Río Ceballos,Bike & Car Accident,0,,,,,,,
Cecil,5866425,4/13/18,5868900,Rawson,Bike Accident,0,,,,,,,
Barney,5889898,7/25/18,5872242,Rafaela,Bike Accident,0,,,,,,,
Delbert,5865109,4/9/18,5889440,Quitilipi,Bike & Car Accident,0,,,,,,,
Edmond,5886268,4/21/18,5883570,Punta Alta,Bike & Car Accident,1,,,,,,,
Anderson,5878131,6/1/18,5886636,Puerto Madryn,Cars Accident,1,,,,,,,
Christian,5886425,7/10/18,5865822,Presidencia Roque Sáenz Peña,Cars Accident,0,,,,,,,
Glenn,5874347,5/16/18,5885513,Pocito,Cars Accident,0,,,,,,,
Jefferson,5879009,6/5/18,5874770,Plottier,Bike Accident,0,,,,,,,
Luke,5876044,5/23/18,5870730,Pergamino,Bike Accident,0,,,,,,,
Neal,5887091,7/12/18,5873732,Pérez,Cars Accident,0,,,,,,,
Burt,5877759,5/31/18,5889463,Paraná,Cars Accident,0,,,,,,,
Ike,5882928,6/22/18,5886749,Palpalá,Bike & Car Accident,0,,,,,,,
Myron,5874014,5/15/18,5888157,Olavarría,Bike & Car Accident,0,,,,,,,
Tony,5878131,4/18/18,5886636,Nueve de Julio,Cars Accident,1,,,,,,,
Conrad,5878131,6/29/18,5886636,Neuquén,Bike & Car Accident,1,,,,,,,
Joel,5888273,7/18/18,5885991,Morteros,Bike Accident,0,,,,,,,
Matt,5883938,6/27/18,5883636,Monteros,Cars Accident,0,,,,,,,
Riley,5888288,7/18/18,5878659,Mendoza,Bike & Car Accident,0,,,,,,,
Vincent,5888729,7/20/18,5888755,Marcos Juárez,Cars Accident,0,,,,,,,
Emory,5875688,5/21/18,5879082,Machagai,Cars Accident,0,,,,,,,
Isaiah,5867228,4/17/18,5881534,Lincoln,Bike & Car Accident,0,,,,,,,
Nick,5882927,6/22/18,5883436,Libertador General San Martín,Bike Accident,0,,,,,,,
Ezra,5873718,5/14/18,5886330,Las Breñas,Cars Accident,0,,,,,,,
Green,5878131,5/21/18,5886636,La Rioja,Bike & Car Accident,1,,,,,,,
Juan,5874126,5/15/18,5884654,La Falda,Bike Accident,1,,,,,,,
Clifton,5881126,6/13/18,5888369,La Calera,Bike Accident,0,,,,,,,
Lucius,5890343,7/27/18,5888029,Laboulaye,Bike & Car Accident,0,,,,,,,
Porter,5884261,6/28/18,5884018,Junín,Bike & Car Accident,0,,,,,,,
Arnold,5869676,4/26/18,5889118,Joaquín V. González,Cars Accident,0,,,,,,,
Bud,5878067,6/1/18,5876007,Jesús María,Cars Accident,0,,,,,,,
Jeremiah,5886356,7/9/18,5881039,Granadero Baigorria,Cars Accident,0,,,,,,,
Taylor,5873771,5/14/18,5888647,Gobernador Gálvez,Bike Accident,0,,,,,,,
Forrest,5881879,6/18/18,5879163,General Roca,Bike Accident,0,,,,,,,
Roland,5874126,6/26/18,5884654,General Pinedo,Cars Accident,1,,,,,,,
Spencer,5874126,7/18/18,5884654,General Pico,Cars Accident,1,,,,,,,
Burton,5876049,5/23/18,5865767,General Enrique Mosconi,Bike & Car Accident,0,,,,,,,
Don,5878353,6/2/18,5888836,Gálvez,Bike & Car Accident,0,,,,,,,
Emmet,5889589,7/24/18,5880304,Firmat,Cars Accident,0,,,,,,,
Gustav,5888872,7/20/18,5889714,Famaillá,Bike & Car Accident,0,,,,,,,
Louie,5883874,6/27/18,5859031,Esquel,Bike Accident,0,,,,,,,
Morgan,5867444,4/18/18,5889457,Esperanza,Cars Accident,0,,,,,,,
Ned,5868394,4/21/18,5887475,Embarcación,Bike & Car Accident,0,,,,,,,
Van,5879953,6/8/18,5873685,Embalse,Cars Accident,0,,,,,,,
Ambrose,5888433,7/19/18,5876011,El Bolsón,Bike & Car Accident,1,,,,,,,
Chauncey,5888433,3/12/18,5876011,Diamante,Cars Accident,1,,,,,,,
Elisha,5882591,6/20/18,5869201,Deán Funes,Bike & Car Accident,0,,,,,,,
Ferdinand,5874080,5/15/18,5873210,Cutral-Có,Bike Accident,0,,,,,,,
General,5885656,7/6/18,5888732,Cruz del Eje,Cars Accident,0,,,,,,,
Julian,5865586,4/10/18,5880540,Crespo,Bike & Car Accident,0,,,,,,,
Kenneth,5887566,7/15/18,5875999,Cosquín,Cars Accident,0,,,,,,,
Mitchell,5886797,7/11/18,5870621,Coronel Suárez,Cars Accident,0,,,,,,,
Allie,5890139,7/26/18,5890308,Coronda,Bike & Car Accident,0,,,,,,,
Josh,5887776,7/16/18,5889436,Córdoba,Bike Accident,0,,,,,,,
Judson,5887345,7/13/18,5883771,Comodoro Rivadavia,Cars Accident,1,,,,,,,
Lyman,5887345,4/19/18,5883771,Cipolletti,Bike & Car Accident,1,,,,,,,
Napoleon,5890415,7/27/18,5879209,Cinco Saltos,Bike Accident,0,,,,,,,
Pedro,5889290,7/23/18,5887070,Chivilcoy,Bike Accident,0,,,,,,,
Berry,5874677,5/17/18,5875934,Chimbas,Bike & Car Accident,0,,,,,,,
Dewitt,5881426,6/14/18,5885169,Chilecito,Bike & Car Accident,0,,,,,,,
Ervin,5866146,4/12/18,5885012,Charata,Cars Accident,0,,,,,,,
Forest,5885806,7/6/18,5885987,Chacabuco,Cars Accident,0,,,,,,,
Lynn,5885416,7/5/18,5890376,Centenario,Cars Accident,0,,,,,,,
Pink,5885439,7/5/18,5889652,Caucete,Bike Accident,0,,,,,,,
Ruben,5886468,5/3/18,5887591,Catriel,Bike Accident,1,,,,,,,
Sanford,5886468,7/10/18,5887591,Castelli,Cars Accident,1,,,,,,,
Ward,5884355,6/28/18,5879879,Casilda,Cars Accident,0,,,,,,,
Douglas,5880259,6/9/18,5879226,Carcarañá,Bike & Car Accident,0,,,,,,,
Ole,5885817,7/6/18,5877039,Capitán Bermúdez,Bike & Car Accident,0,,,,,,,
Omer,5887304,7/13/18,5887339,Cañada de Gómez,Cars Accident,0,,,,,,,
Ulysses,5871900,5/6/18,5884581,Caleta Olivia,Cars Accident,0,,,,,,,
Walker,5861939,3/27/18,5877498,Bell Ville,Bike & Car Accident,0,,,,,,,
Wilbert,5888854,7/20/18,5878453,Bella Vista,Bike Accident,0,,,,,,,
Adelbert,5886433,7/10/18,5889025,Bahía Blanca,Cars Accident,0,,,,,,,
Benjiman,5885573,7/5/18,5881743,Arroyo Seco,Bike & Car Accident,1,,,,,,,
Ivan,5885573,7/2/18,5881743,Arroyito,Bike Accident,1,,,,,,,
Jonas,5886932,7/11/18,5888466,Añatuya,Bike Accident,0,,,,,,,
Major,5872320,5/8/18,5867856,Alta Gracia,Bike & Car Accident,0,,,,,,,
Abner,5887540,7/14/18,5870559,Allen,Bike & Car Accident,0,,,,,,,
Archibald,5883968,6/27/18,5878338,Alderetes,Cars Accident,0,,,,,,,
Caleb,5887102,7/12/18,5873114,Albardón,Cars Accident,0,,,,,,,
